,Name_left,AuthorId,PaperYear,PaperId,Year_paper,Name_right,CitesFrom,Year_citation,PaperCount
128,Martha Bailey,2099517250,2023,2091752722.0,2005.0,Martha Bailey,2915580705.0,2017.0,15
173,Ned Augenblick,2007617668,2023,3192017286.0,2020.0,Ned Augenblick,3208005629.0,2021.0,412
171,Simone Galperti,94951237,2023,3160169250.0,2019.0,Simone Galperti,2595783037.0,2020.0,87
166,John Friedman,2950008229,2023,2755366617.0,2017.0,John Friedman,3200622864.0,2022.0,2739
165,Guido Lorenzoni,2341329494,2023,3151758599.0,2007.0,Guido Lorenzoni,3021155263.0,2009.0,3370
157,Esteban Rossi-Hansberg,685834236,2023,3199816986.0,2021.0,Esteban Rossi-Hansberg,3173611201.0,2021.0,6094
154,Francesco Trebbi,231393685,2023,3202560103.0,2008.0,Francesco Trebbi,3132928681.0,2021.0,9381
152,Ying Fan,2827469987,2023,2874583838.0,2012.0,Ying Fan,2934858603.0,2018.0,4
150,Alessandra Casella,2717351786,2023,2190896843.0,2015.0,Alessandra Casella,2992228835.0,2020.0,5
148,Matthias Doepke,27167037,2023,3195320387.0,2019.0,Matthias Doepke,2986619652.0,2019.0,4611
144,Kelsey Jack,3196236660,2023,2979754715.0,2019.0,Kelsey Jack,3217149014.0,2021.0,5
142,Johannes Spinnewijn,305431955,2023,3201167168.0,2021.0,Johannes Spinnewijn,3215989157.0,2021.0,500
172,Jakub Steiner,2153140563,2023,3183204703.0,2021.0,Jakub Steiner,3205409711.0,2021.0,363
299,Pierre Yared,2903543601,2023,2921542209.0,2019.0,Pierre Yared,3101113081.0,2020.0,4
